material_name,material_type,quantity_estimate,quality_grade,processing_requirements,potential_applications,sustainability_score,market_value,ai_generated,generation_timestamp
General_industrial_waste,waste,7500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$3750000/month,True,2025-07-20T07:54:53.621034
Wastewater,waste,7500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$3750000/month,True,2025-07-20T07:54:53.621034
Dust,waste,7500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$3750000/month,True,2025-07-20T07:54:53.621034
Electronic_waste,waste,7500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$3750000/month,True,2025-07-20T07:54:53.621034
Metal_scraps,by_product,3750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$7500000/month,True,2025-07-20T07:54:53.621034
Plastic_scraps,by_product,3750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$7500000/month,True,2025-07-20T07:54:53.621034
Glass_waste,by_product,3750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$7500000/month,True,2025-07-20T07:54:53.621034
Paper_waste,by_product,3750.0 tons/month,commercial,moderate,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.9,$7500000/month,True,2025-07-20T07:54:53.621034
General_industrial_waste,waste,3500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1750000/month,True,2025-07-20T07:54:53.622048
Wastewater,waste,3500.0 tons/month,industrial,minimal,"['Construction_materials', 'Packaging', 'Automotive_parts', 'Electronics']",0.8,$1750000/month,True,2025-07-20T07:54:53.622048
