company_id,company_name,material_name,material_type,quantity,unit,description,quality_grade,potential_value,ai_generated,generated_at
,Saudi Aramco,Steel Scrap,waste,150,tons,Steel scrap from Saudi Aramco manufacturing,B,45000,True,2025-07-20T00:39:19.724376
,Saudi Aramco,Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Aramco operations,A,75000,True,2025-07-20T00:39:19.724376
,Saudi Aramco,AI Listing 1 for Saudi Aramco,ai_generated,100,tons,AI-generated material listing 1 for Saudi Aramco,A,5000,True,2025-07-20T00:39:19.724376
,Saudi Aramco,AI Listing 2 for Saudi Aramco,ai_generated,50,tons,AI-generated material listing 2 for Saudi Aramco,B,2500,True,2025-07-20T00:39:19.724376
,Saudi Aramco,Generic Material - Saudi Aramco,unknown,100,tons,Generic material from Saudi Aramco,C,2000,True,2025-07-20T00:39:19.724376
,SABIC,Steel Scrap,waste,150,tons,Steel scrap from SABIC manufacturing,B,45000,True,2025-07-20T00:39:19.735318
,SABIC,Aluminum Waste,waste,50,tons,Aluminum waste from SABIC operations,A,75000,True,2025-07-20T00:39:19.735318
,SABIC,AI Listing 1 for SABIC,ai_generated,100,tons,AI-generated material listing 1 for SABIC,A,5000,True,2025-07-20T00:39:19.735318
,SABIC,AI Listing 2 for SABIC,ai_generated,50,tons,AI-generated material listing 2 for SABIC,B,2500,True,2025-07-20T00:39:19.735318
,SABIC,Generic Material - SABIC,unknown,100,tons,Generic material from SABIC,C,2000,True,2025-07-20T00:39:19.735318
,Ma'aden,Steel Scrap,waste,150,tons,Steel scrap from Ma'aden manufacturing,B,45000,True,2025-07-20T00:39:19.745857
,Ma'aden,Aluminum Waste,waste,50,tons,Aluminum waste from Ma'aden operations,A,75000,True,2025-07-20T00:39:19.745857
,Ma'aden,AI Listing 1 for Ma'aden,ai_generated,100,tons,AI-generated material listing 1 for Ma'aden,A,5000,True,2025-07-20T00:39:19.745857
,Ma'aden,AI Listing 2 for Ma'aden,ai_generated,50,tons,AI-generated material listing 2 for Ma'aden,B,2500,True,2025-07-20T00:39:19.745857
,Ma'aden,Generic Material - Ma'aden,unknown,100,tons,Generic material from Ma'aden,C,2000,True,2025-07-20T00:39:19.745857
,Almarai Co. Ltd.,Steel Scrap,waste,150,tons,Steel scrap from Almarai Co. Ltd. manufacturing,B,45000,True,2025-07-20T00:39:19.759886
,Almarai Co. Ltd.,Aluminum Waste,waste,50,tons,Aluminum waste from Almarai Co. Ltd. operations,A,75000,True,2025-07-20T00:39:19.759886
,Almarai Co. Ltd.,AI Listing 1 for Almarai Co. Ltd.,ai_generated,100,tons,AI-generated material listing 1 for Almarai Co. Ltd.,A,5000,True,2025-07-20T00:39:19.759886
,Almarai Co. Ltd.,AI Listing 2 for Almarai Co. Ltd.,ai_generated,50,tons,AI-generated material listing 2 for Almarai Co. Ltd.,B,2500,True,2025-07-20T00:39:19.759886
,Almarai Co. Ltd.,Generic Material - Almarai Co. Ltd.,unknown,100,tons,Generic material from Almarai Co. Ltd.,C,2000,True,2025-07-20T00:39:19.759886
,Saudi Binladin Group,General Waste,waste,100,tons,General waste from Saudi Binladin Group operations,C,20000,True,2025-07-20T00:39:19.772433
,Saudi Binladin Group,AI Listing 1 for Saudi Binladin Group,ai_generated,100,tons,AI-generated material listing 1 for Saudi Binladin Group,A,5000,True,2025-07-20T00:39:19.772433
,Saudi Binladin Group,AI Listing 2 for Saudi Binladin Group,ai_generated,50,tons,AI-generated material listing 2 for Saudi Binladin Group,B,2500,True,2025-07-20T00:39:19.772433
,Saudi Binladin Group,Generic Material - Saudi Binladin Group,unknown,100,tons,Generic material from Saudi Binladin Group,C,2000,True,2025-07-20T00:39:19.772433
,ADNOC,Steel Scrap,waste,150,tons,Steel scrap from ADNOC manufacturing,B,45000,True,2025-07-20T00:39:19.784947
,ADNOC,Aluminum Waste,waste,50,tons,Aluminum waste from ADNOC operations,A,75000,True,2025-07-20T00:39:19.784947
,ADNOC,AI Listing 1 for ADNOC,ai_generated,100,tons,AI-generated material listing 1 for ADNOC,A,5000,True,2025-07-20T00:39:19.784947
,ADNOC,AI Listing 2 for ADNOC,ai_generated,50,tons,AI-generated material listing 2 for ADNOC,B,2500,True,2025-07-20T00:39:19.784947
,ADNOC,Generic Material - ADNOC,unknown,100,tons,Generic material from ADNOC,C,2000,True,2025-07-20T00:39:19.784947
,Emirates Global Aluminium (EGA),Steel Scrap,waste,150,tons,Steel scrap from Emirates Global Aluminium (EGA) manufacturing,B,45000,True,2025-07-20T00:39:19.798977
,Emirates Global Aluminium (EGA),Aluminum Waste,waste,50,tons,Aluminum waste from Emirates Global Aluminium (EGA) operations,A,75000,True,2025-07-20T00:39:19.798977
,Emirates Global Aluminium (EGA),AI Listing 1 for Emirates Global Aluminium (EGA),ai_generated,100,tons,AI-generated material listing 1 for Emirates Global Aluminium (EGA),A,5000,True,2025-07-20T00:39:19.798977
,Emirates Global Aluminium (EGA),AI Listing 2 for Emirates Global Aluminium (EGA),ai_generated,50,tons,AI-generated material listing 2 for Emirates Global Aluminium (EGA),B,2500,True,2025-07-20T00:39:19.798977
,Emirates Global Aluminium (EGA),Generic Material - Emirates Global Aluminium (EGA),unknown,100,tons,Generic material from Emirates Global Aluminium (EGA),C,2000,True,2025-07-20T00:39:19.798977
,Union Cement Company (UCC),Steel Scrap,waste,150,tons,Steel scrap from Union Cement Company (UCC) manufacturing,B,45000,True,2025-07-20T00:39:19.813028
,Union Cement Company (UCC),Aluminum Waste,waste,50,tons,Aluminum waste from Union Cement Company (UCC) operations,A,75000,True,2025-07-20T00:39:19.814030
,Union Cement Company (UCC),AI Listing 1 for Union Cement Company (UCC),ai_generated,100,tons,AI-generated material listing 1 for Union Cement Company (UCC),A,5000,True,2025-07-20T00:39:19.814030
,Union Cement Company (UCC),AI Listing 2 for Union Cement Company (UCC),ai_generated,50,tons,AI-generated material listing 2 for Union Cement Company (UCC),B,2500,True,2025-07-20T00:39:19.814030
,Union Cement Company (UCC),Generic Material - Union Cement Company (UCC),unknown,100,tons,Generic material from Union Cement Company (UCC),C,2000,True,2025-07-20T00:39:19.814030
,Emirates Food Industries (EFI),Steel Scrap,waste,150,tons,Steel scrap from Emirates Food Industries (EFI) manufacturing,B,45000,True,2025-07-20T00:39:19.828545
,Emirates Food Industries (EFI),Aluminum Waste,waste,50,tons,Aluminum waste from Emirates Food Industries (EFI) operations,A,75000,True,2025-07-20T00:39:19.828545
,Emirates Food Industries (EFI),AI Listing 1 for Emirates Food Industries (EFI),ai_generated,100,tons,AI-generated material listing 1 for Emirates Food Industries (EFI),A,5000,True,2025-07-20T00:39:19.828545
,Emirates Food Industries (EFI),AI Listing 2 for Emirates Food Industries (EFI),ai_generated,50,tons,AI-generated material listing 2 for Emirates Food Industries (EFI),B,2500,True,2025-07-20T00:39:19.828545
,Emirates Food Industries (EFI),Generic Material - Emirates Food Industries (EFI),unknown,100,tons,Generic material from Emirates Food Industries (EFI),C,2000,True,2025-07-20T00:39:19.828545
,DP World,General Waste,waste,100,tons,General waste from DP World operations,C,20000,True,2025-07-20T00:39:19.842583
,DP World,AI Listing 1 for DP World,ai_generated,100,tons,AI-generated material listing 1 for DP World,A,5000,True,2025-07-20T00:39:19.842583
