material_name,material_type,potential_matches,match_confidence,sustainability_impact,economic_viability,implementation_complexity,ai_generated,generation_timestamp
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.621034
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.622048
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.623044
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.624045
Construction_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.625048
Demolition_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.625048
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.625048
Recycled_aggregates,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.625048
Reclaimed_materials,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.625048
Crushed_concrete,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.625048
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.627047
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.627047
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.627047
